title,genres,rating,revenue,budget,runtime,release_year,vote_count,metascore,studio,language
Movie 000,"Drama, Romance",6.9,382698733.21,33989231.91,96,2012,49734,72.0,Universal,Spanish
Movie 001,Sci-Fi,5.3,812447797.47,85851704.13,174,2008,17733,30.0,Disney,English
Movie 002,Horror,4.5,987403368.02,21643185.28,177,2021,29444,80.0,Disney,English
Movie 003,"Drama, Romance",8.9,158912722.19,199390479.11,139,2014,17114,53.0,Warner Bros,French
Movie 004,Drama,9.0,598189408.2,102928027.01,143,2013,15096,,Disney,Korean
Movie 005,Horror,7.5,387081948.06,121100078.38,167,2023,49204,46.0,Sony,French
Movie 006,Horror,5.9,970215253.84,18079913.09,114,2006,41721,34.0,Sony,Korean
Movie 007,"Drama, Romance",5.9,843697733.9,151242291.73,149,2024,11795,49.0,Warner Bros,Spanish
Movie 008,Comedy,8.0,839945417.66,45931590.65,162,2019,2952,50.0,Universal,French
Movie 009,Drama,8.9,474006228.2,180120586.44,109,2001,16114,87.0,Universal,English
Movie 010,"Drama, Romance",8.9,420671307.31,45002229.89,150,2006,27142,60.0,Disney,Spanish
Movie 011,Drama,8.3,280673001.21,42184105.53,153,2005,33855,40.0,Disney,English
Movie 012,Drama,7.5,65811741.68,12127185.23,175,2016,40490,81.0,Disney,Spanish
Movie 013,Horror,,866075152.49,97053054.3,177,2024,23811,44.0,Universal,French
Movie 014,Sci-Fi,4.9,814771999.04,115144020.99,142,2024,26222,,Paramount,Korean
Movie 015,Drama,8.9,999720496.55,17813184.69,107,2001,9260,57.0,Sony,Spanish
Movie 016,"Action, Sci-Fi",7.3,996670468.7,156227885.26,139,2002,27313,80.0,Paramount,Korean
Movie 017,Horror,4.1,559877388.55,93391322.78,158,2004,39520,87.0,Paramount,Spanish
Movie 018,Comedy,4.6,771297541.03,107256102.52,173,2004,7521,34.0,Universal,English
Movie 019,Sci-Fi,7.6,945318072.58,90948735.65,116,2000,21500,,Paramount,English
Movie 020,"Action, Sci-Fi",4.0,851150916.77,83148796.87,172,2007,33637,37.0,Warner Bros,Spanish
Movie 021,"Action, Sci-Fi",4.9,254874620.73,114129864.61,101,2011,17827,93.0,Disney,Korean
Movie 022,Comedy,7.0,456038693.96,35271847.96,147,2023,46982,39.0,Warner Bros,French
Movie 023,Sci-Fi,7.8,137867821.0,40475985.45,99,2003,4458,67.0,Sony,French
Movie 024,Horror,7.6,954510516.99,173048196.1,175,2012,28582,37.0,Disney,English
Movie 025,Action,5.2,610112888.11,189492515.12,179,2022,32217,,Paramount,French
Movie 026,Sci-Fi,7.9,236356377.45,77795316.67,147,2014,23264,95.0,Sony,English
Movie 027,Comedy,,674983677.56,57795211.26,170,2010,32010,79.0,Disney,French
Movie 028,"Action, Sci-Fi",5.8,621946958.05,130579910.93,143,2009,32596,96.0,Paramount,Spanish
Movie 029,Horror,8.1,364581090.85,84703163.36,96,2002,44411,78.0,Warner Bros,English
Movie 030,Sci-Fi,7.6,122422016.28,9950339.35,91,2021,29471,65.0,Disney,English
Movie 031,Action,8.7,674857463.64,35449756.49,101,2013,38567,97.0,Paramount,Spanish
Movie 032,Action,7.6,525104623.89,144614584.63,96,2015,17725,70.0,Warner Bros,English
Movie 033,Drama,7.1,774595207.82,133490168.67,89,2009,33993,91.0,Sony,French
Movie 034,Drama,,524961866.1,10283718.54,144,2009,10893,39.0,Sony,French
Movie 035,"Drama, Romance",6.0,853659685.32,48284571.58,101,2011,31107,50.0,Sony,English
Movie 036,Comedy,5.5,556387770.39,50059585.33,169,2008,25866,65.0,Sony,French
Movie 037,Sci-Fi,5.3,565328591.82,136019085.0,161,2000,39632,41.0,Universal,Korean
Movie 038,Sci-Fi,9.4,877887066.63,8843554.86,129,2004,12423,31.0,Disney,English
Movie 039,"Drama, Romance",6.2,409448037.55,25301173.49,93,2019,45899,,Disney,Spanish
Movie 040,"Action, Sci-Fi",8.9,142675076.17,160983636.65,143,2007,46920,82.0,Universal,Korean
Movie 041,"Action, Sci-Fi",7.5,38494849.55,39816209.1,126,2010,45508,61.0,Paramount,English
Movie 042,"Drama, Romance",8.4,757585883.12,132285491.03,108,2011,7943,45.0,Paramount,Spanish
